Crop_Year,State,Crop,Season,Area_1000_ha,Production_1000_tonnes,Yield_tonnes_per_ha,Annual_Rainfall_mm,Irrigation_pct
2017,Uttar Pradesh,Fruits,Kharif,555.1,8704.0,15.68,770.5,58.3
2012,Uttar Pradesh,Maize,Kharif,790.8,1518.3,1.92,875.6,47.5
2004,Bihar,Wheat,Rabi,1882.3,4065.8,2.16,76.7,74.4
2013,Andhra Pradesh,Sugarcane,Kharif,214.3,15204.6,70.95,732.2,96.3
2012,Punjab,Sugarcane,Kharif,112.2,7571.3,67.48,457.0,100
2021,Bihar,Vegetables,Kharif,924.7,14277.4,15.44,904.5,38.9
2008,Kerala,Rice,Kharif,298.8,764.9,2.56,1682.5,41.3
2019,Gujarat,Tobacco,Rabi,90.2,121.8,1.35,34.3,83.6
2001,Karnataka,Pulses,Rabi,2273.8,977.7,0.43,121.0,13.4
2002,Kerala,Tea,Kharif,30.3,45.1,1.49,1616.4,4.5
2017,Haryana,Rice,Kharif,1457.2,5275.1,3.62,610.1,100
2002,Tamil Nadu,Millets,Kharif,386.7,398.3,1.03,223.1,38.6
2010,Assam,Jute,Kharif,78.1,144.5,1.85,1889.3,4.3
2017,Uttarakhand,Wheat,Rabi,368.1,957.1,2.6,120.0,66.9
2010,Maharashtra,Pulses,Kharif,3362.1,2219.0,0.66,595.1,8.8
2015,Maharashtra,Sugarcane,Kharif,1308.3,89801.7,68.64,504.8,92.0
2007,Rajasthan,Millets,Kharif,4788.1,3016.5,0.63,439.5,4.9
2009,Rajasthan,Oilseeds,Rabi,2346.8,2018.2,0.86,28.3,72.0
2011,Andhra Pradesh,Maize,Kharif,815.9,2978.0,3.65,547.0,55.0
2004,Gujarat,Sugarcane,Kharif,195.3,12499.2,64.0,665.8,94.3
2017,Madhya Pradesh,Cotton,Kharif,634.2,640.5,1.01,739.4,17.0
2022,Maharashtra,Sugarcane,Kharif,1030.4,80463.9,78.09,678.3,94.5
2018,Bihar,Sugarcane,Kharif,252.2,11782.8,46.72,500.4,67.7
2015,Odisha,Rice,Kharif,3913.3,6730.9,1.72,815.0,32.0
2013,Bihar,Fruits,Kharif,345.4,3737.2,10.82,1389.6,38.6
2010,Haryana,Cotton,Kharif,716.1,930.9,1.3,319.7,90.0
2015,Madhya Pradesh,Maize,Kharif,953.2,1858.7,1.95,681.4,24.5
2008,Maharashtra,Millets,Kharif,3119.2,2495.4,0.8,562.5,7.0
2015,Haryana,Rice,Kharif,1454.3,5017.3,3.45,323.6,97.2
2020,Bihar,Vegetables,Kharif,804.9,11976.9,14.88,819.7,37.9
2012,Maharashtra,Pulses,Kharif,4294.4,2963.1,0.69,593.1,10.2
2002,Bihar,Wheat,Rabi,1912.6,3174.9,1.66,50.2,76.4
2021,Uttar Pradesh,Oilseeds,Rabi,838.7,998.1,1.19,55.6,80.0
2019,Goa,Coconut,Kharif,23.2,185.1,7.98,3591.1,12.5
2009,Madhya Pradesh,Vegetables,Rabi,456.7,5745.3,12.58,53.0,55.7
2021,Andhra Pradesh,Sugarcane,Kharif,237.0,20325.1,85.76,512.1,95.4
2022,Madhya Pradesh,Vegetables,Rabi,461.6,7981.1,17.29,99.3,53.3
2004,Rajasthan,Oilseeds,Rabi,2629.3,2366.4,0.9,38.7,72.2
2019,Telangana,Cotton,Kharif,1983.1,2677.2,1.35,779.8,34.5
2011,Kerala,Tea,Kharif,36.3,61.3,1.69,1934.7,5.9
2015,Haryana,Cotton,Kharif,636.3,833.6,1.31,199.2,90.5
2008,Maharashtra,Vegetables,Kharif,720.8,9190.2,12.75,699.3,43.4
2019,Punjab,Cotton,Kharif,475.9,723.4,1.52,454.6,96.8
2018,Uttar Pradesh,Wheat,Rabi,10515.3,29863.5,2.84,158.7,83.3
2014,Uttar Pradesh,Oilseeds,Rabi,913.1,876.6,0.96,28.6,80.8
2020,Punjab,Rice,Kharif,3212.2,14840.4,4.62,640.4,99.8
2009,Maharashtra,Vegetables,Kharif,756.4,8623.0,11.4,477.7,47.1
2013,Assam,Jute,Kharif,73.5,120.5,1.64,2430.0,8.2
2012,Uttar Pradesh,Wheat,Rabi,11184.9,33890.2,3.03,172.3,87.6
2017,Haryana,Wheat,Rabi,3074.4,14203.7,4.62,140.0,98.8
2019,Karnataka,Fruits,Kharif,490.0,4537.4,9.26,931.2,44.6
2022,Karnataka,Spices,Kharif,178.4,347.9,1.95,1014.2,21.7
2003,Kerala,Coconut,Kharif,948.6,6773.0,7.14,2500.8,29.1
2015,Uttar Pradesh,Oilseeds,Rabi,856.2,813.4,0.95,36.1,83.0
2012,Maharashtra,Fruits,Kharif,1061.2,11567.1,10.9,779.0,46.0
2006,Tamil Nadu,Fruits,Kharif,370.3,4299.2,11.61,548.2,60.7
2018,Haryana,Sugarcane,Kharif,139.0,8237.1,59.26,289.1,100
2019,Karnataka,Coffee,Kharif,260.0,231.4,0.89,2715.2,31.2
2006,Karnataka,Spices,Kharif,193.7,327.4,1.69,1017.0,19.6
2003,Maharashtra,Fruits,Kharif,931.1,8072.6,8.67,408.0,47.4
2013,Rajasthan,Cotton,Kharif,472.8,416.1,0.88,477.9,52.6
2016,Uttar Pradesh,Wheat,Rabi,11471.5,34643.9,3.02,215.4,89.5
2016,Haryana,Cotton,Kharif,644.1,959.7,1.49,305.9,90.5
2009,Telangana,Pulses,Rabi,447.2,210.2,0.47,71.6,22.4
2001,Bihar,Maize,Kharif,686.9,1394.4,2.03,928.9,45.7
2001,Uttar Pradesh,Rice,Kharif,5361.3,9811.2,1.83,1015.0,74.9
2002,Gujarat,Vegetables,Rabi,504.7,6076.6,12.04,30.6,82.9
2006,Telangana,Soybean,Kharif,207.3,163.8,0.79,810.4,13.0
2007,Chhattisgarh,Pulses,Kharif,367.2,157.9,0.43,983.1,3.5
2020,Karnataka,Millets,Kharif,2060.3,2905.0,1.41,561.3,14.8
2013,Jharkhand,Rice,Kharif,1653.0,2760.5,1.67,1290.5,14.0
2020,Rajasthan,Oilseeds,Rabi,2623.4,3331.7,1.27,39.3,75.0
2010,Bihar,Rice,Kharif,3257.8,5473.1,1.68,893.0,57.1
2016,Gujarat,Groundnut,Kharif,2172.9,3476.6,1.6,704.3,41.6
2012,Kerala,Fruits,Kharif,233.5,2185.6,9.36,2098.7,28.4
2011,Gujarat,Fruits,Kharif,426.6,4142.3,9.71,496.0,53.5
2005,West Bengal,Jute,Kharif,652.9,1358.0,2.08,1795.3,21.1
2009,Karnataka,Spices,Kharif,134.6,216.7,1.61,512.2,20.7
2007,Maharashtra,Maize,Kharif,596.8,1169.7,1.96,655.1,19.3
2001,Tamil Nadu,Fruits,Kharif,322.6,3587.3,11.12,588.4,60.4
2015,Maharashtra,Cotton,Kharif,4509.5,4464.4,0.99,716.0,9.9
2022,Rajasthan,Millets,Kharif,4862.9,5981.4,1.23,382.3,0.8
2015,Tamil Nadu,Fruits,Kharif,388.0,5009.1,12.91,340.8,55.6
2017,Uttar Pradesh,Vegetables,Rabi,1192.6,21908.1,18.37,200.6,69.0
2015,Andhra Pradesh,Fruits,Kharif,659.1,7151.2,10.85,400.3,54.7
2014,Bihar,Maize,Kharif,612.3,1585.9,2.59,600.2,40.6
2004,Madhya Pradesh,Groundnut,Kharif,169.4,154.2,0.91,664.5,9.0
2005,West Bengal,Oilseeds,Rabi,402.5,229.4,0.57,70.8,32.6
2010,Gujarat,Oilseeds,Rabi,319.4,351.3,1.1,18.4,80.7
2022,Andhra Pradesh,Cotton,Kharif,725.7,1095.8,1.51,455.7,45.2
2013,Maharashtra,Rice,Kharif,1521.2,2677.3,1.76,1180.5,23.8
2005,Rajasthan,Maize,Kharif,881.8,890.6,1.01,647.7,19.3
2005,Punjab,Wheat,Rabi,3357.0,13830.8,4.12,257.9,98.8
2011,Tamil Nadu,Fruits,Kharif,334.2,4451.5,13.32,586.3,62.6
2008,Karnataka,Maize,Kharif,1238.5,3566.9,2.88,711.4,28.6
2009,Tamil Nadu,Vegetables,Kharif,445.5,6179.1,13.87,351.2,63.3
2018,West Bengal,Tea,Kharif,175.7,281.1,1.6,1364.3,12.7
2014,Madhya Pradesh,Vegetables,Rabi,534.7,7817.3,14.62,42.9,51.0
2010,Uttar Pradesh,Wheat,Rabi,9781.8,28269.4,2.89,177.8,88.2
2020,Karnataka,Tobacco,Rabi,66.0,101.0,1.53,121.8,69.2
2012,Kerala,Tea,Kharif,36.3,63.2,1.74,2609.1,8.1
2016,Maharashtra,Rice,Kharif,1493.5,2777.9,1.86,1070.2,19.0
2012,West Bengal,Tea,Kharif,149.4,255.5,1.71,2056.0,10.3
2013,Gujarat,Oilseeds,Rabi,325.0,360.8,1.11,20.2,79.6
2011,Chhattisgarh,Rice,Kharif,3582.9,5589.3,1.56,961.7,29.2
2011,Punjab,Wheat,Rabi,4155.7,19614.9,4.72,150.2,100
2022,Andhra Pradesh,Pulses,Rabi,625.7,481.8,0.77,109.8,28.2
2017,Kerala,Coffee,Kharif,84.1,69.0,0.82,1923.6,14.0
2021,Uttar Pradesh,Millets,Kharif,894.3,948.0,1.06,683.0,18.5
2003,West Bengal,Rice,Kharif,3740.7,8828.1,2.36,1207.8,37.2
2009,Rajasthan,Groundnut,Kharif,547.9,509.5,0.93,178.8,28.3
2010,Haryana,Wheat,Rabi,2608.1,11762.5,4.51,118.2,96.6
2021,Maharashtra,Soybean,Kharif,4303.2,4389.3,1.02,890.5,4.6
2003,Telangana,Pulses,Rabi,413.1,214.8,0.52,109.8,18.4
2015,Punjab,Sugarcane,Kharif,97.4,5956.0,61.15,309.7,100
2015,Maharashtra,Rice,Kharif,1528.6,2461.0,1.61,645.0,22.3
2017,Telangana,Rice,Kharif,1188.9,3852.0,3.24,556.4,83.5
2022,Maharashtra,Vegetables,Kharif,668.3,9730.4,14.56,653.8,49.2
2012,Tamil Nadu,Coconut,Kharif,504.9,5392.3,10.68,458.7,74.3
2011,Maharashtra,Fruits,Kharif,966.9,10229.8,10.58,828.2,50.1
2013,Rajasthan,Spices,Rabi,37.8,43.5,1.15,32.9,68.2
2021,Punjab,Cotton,Kharif,516.2,960.1,1.86,377.1,93.7
2016,Tamil Nadu,Rice,Kharif,1712.7,6748.0,3.94,435.0,99.6
2009,Gujarat,Tobacco,Rabi,81.9,92.5,1.13,15.3,83.6
2003,Tamil Nadu,Rice,Kharif,1962.1,6239.5,3.18,567.4,93.3
2004,Telangana,Maize,Kharif,452.3,1013.2,2.24,722.8,40.4
2018,Tamil Nadu,Millets,Kharif,413.9,620.8,1.5,262.2,41.0
2002,Uttar Pradesh,Pulses,Rabi,2382.8,1358.2,0.57,33.1,51.1
2020,Andhra Pradesh,Spices,Kharif,63.9,101.0,1.58,488.4,30.3
2015,Rajasthan,Oilseeds,Rabi,2869.0,3155.9,1.1,23.9,76.8
2016,Rajasthan,Oilseeds,Rabi,3024.3,3810.6,1.26,26.4,78.6
2009,Bihar,Wheat,Rabi,2212.2,4335.9,1.96,53.4,72.4
2013,Karnataka,Pulses,Rabi,2360.7,1251.2,0.53,214.1,13.2
2011,West Bengal,Vegetables,Kharif,1241.0,19520.9,15.73,1312.2,33.5
2012,Maharashtra,Cotton,Kharif,4594.2,4318.5,0.94,763.5,11.3
2008,Madhya Pradesh,Vegetables,Rabi,399.8,5077.5,12.7,77.6,54.9
2019,Telangana,Pulses,Rabi,424.6,267.5,0.63,145.2,21.9
2018,Andhra Pradesh,Coconut,Kharif,116.3,1067.6,9.18,326.1,66.8
2002,Bihar,Rice,Kharif,3658.5,4646.3,1.27,728.7,57.1
2001,Tamil Nadu,Spices,Kharif,90.4,123.8,1.37,712.1,26.2
2022,Uttar Pradesh,Fruits,Kharif,495.8,7957.6,16.05,639.1,61.2
2019,Gujarat,Millets,Kharif,644.0,779.2,1.21,573.4,11.3
2016,Rajasthan,Pulses,Rabi,2117.8,1334.2,0.63,23.8,28.8
2004,Uttar Pradesh,Sugarcane,Kharif,2091.1,122893.9,58.77,1051.8,94.7
2007,Tamil Nadu,Spices,Kharif,86.9,135.6,1.56,808.7,24.3
2001,Maharashtra,Sugarcane,Kharif,970.0,64291.6,66.28,629.7,90.8
2014,Karnataka,Millets,Kharif,2278.8,2711.8,1.19,573.0,14.5
2012,Telangana,Cotton,Kharif,1658.2,1906.9,1.15,763.3,37.4
2008,Rajasthan,Oilseeds,Rabi,2628.3,2418.0,0.92,37.7,75.6
2017,Rajasthan,Maize,Kharif,927.7,1660.6,1.79,442.6,23.1
2010,Karnataka,Rice,Kharif,1041.3,2884.4,2.77,938.0,64.3
2015,Maharashtra,Soybean,Kharif,3919.1,3644.8,0.93,389.3,2.6
2002,Tamil Nadu,Spices,Kharif,109.0,121.0,1.11,692.9,27.7
2007,Bihar,Vegetables,Kharif,888.7,12077.4,13.59,947.1,39.3
2006,Tamil Nadu,Rice,Rabi,849.6,2931.1,3.45,433.2,96.2
2020,Maharashtra,Groundnut,Kharif,433.9,546.7,1.26,617.6,17.0
2022,Telangana,Rice,Kharif,1352.3,4489.6,3.32,793.8,87.6
2019,Karnataka,Rice,Kharif,1085.7,2920.5,2.69,1618.5,66.1
2022,Rajasthan,Soybean,Kharif,1114.6,1248.4,1.12,407.7,13.3
2010,Punjab,Cotton,Kharif,447.1,612.5,1.37,384.4,92.6
2015,Rajasthan,Pulses,Rabi,2053.2,1129.3,0.55,22.1,28.1
2020,Chhattisgarh,Pulses,Kharif,379.4,216.3,0.57,723.5,2.8
2003,Karnataka,Maize,Kharif,1232.4,2957.8,2.4,787.8,31.0
2012,Andhra Pradesh,Millets,Kharif,361.5,401.3,1.11,451.1,18.2
2011,Karnataka,Millets,Kharif,2306.1,2652.0,1.15,639.4,15.2
2012,Karnataka,Coffee,Kharif,230.6,235.2,1.02,1786.0,30.3
2018,Bihar,Wheat,Rabi,2561.8,6199.6,2.42,48.4,73.9
2006,Gujarat,Sugarcane,Kharif,190.5,12365.4,64.91,607.8,96.4
2006,Uttar Pradesh,Oilseeds,Rabi,888.4,888.4,1.0,58.7,80.6
2009,Rajasthan,Millets,Kharif,4510.3,2751.3,0.61,232.1,1.9
2008,Rajasthan,Maize,Kharif,840.5,1042.2,1.24,579.9,19.1
2004,Haryana,Oilseeds,Rabi,558.7,625.7,1.12,45.8,86.5
2002,Telangana,Soybean,Kharif,204.3,120.5,0.59,444.2,8.6
2018,West Bengal,Jute,Kharif,674.3,1577.9,2.34,599.2,19.5
2008,Karnataka,Sugarcane,Kharif,423.6,31786.9,75.04,858.8,95.0
2007,Maharashtra,Millets,Kharif,2577.5,2036.2,0.79,507.1,3.7
2014,Rajasthan,Wheat,Rabi,2564.7,8001.9,3.12,33.4,86.6
2013,Telangana,Maize,Kharif,428.4,1105.3,2.58,1064.5,37.9
2011,Bihar,Pulses,Rabi,530.8,376.9,0.71,56.2,36.5
2002,Rajasthan,Groundnut,Kharif,633.6,487.9,0.77,259.2,30.4
2005,Gujarat,Millets,Kharif,629.2,553.7,0.88,722.8,11.3
2014,Telangana,Rice,Kharif,1224.3,3599.4,2.94,494.7,87.8
2016,Punjab,Sugarcane,Kharif,108.1,6973.5,64.51,624.2,98.4
2006,Maharashtra,Wheat,Rabi,949.5,1148.9,1.21,48.7,71.8
2016,Tamil Nadu,Groundnut,Kharif,529.5,979.6,1.85,523.3,51.5
2001,West Bengal,Wheat,Rabi,419.7,1074.4,2.56,93.8,48.5
2001,Andhra Pradesh,Tobacco,Rabi,137.9,175.1,1.27,103.6,79.2
2006,Rajasthan,Wheat,Rabi,3146.1,9406.8,2.99,56.9,85.3
2019,West Bengal,Vegetables,Kharif,1176.0,17157.8,14.59,1997.5,32.7
2006,Telangana,Maize,Kharif,402.2,921.0,2.29,607.2,38.4
2006,Haryana,Rice,Kharif,1198.8,3740.3,3.12,559.8,97.3
2010,Karnataka,Groundnut,Kharif,813.5,756.6,0.93,529.6,19.0
2022,Gujarat,Millets,Kharif,807.8,1211.7,1.5,433.2,10.2
2007,Haryana,Sugarcane,Kharif,117.2,6469.4,55.2,387.0,96.8
2019,West Bengal,Oilseeds,Rabi,351.3,288.1,0.82,66.1,30.0
2002,Rajasthan,Millets,Kharif,4245.4,1613.3,0.38,248.0,7.0
2003,Rajasthan,Oilseeds,Rabi,2352.7,2258.6,0.96,39.5,72.3
2003,Gujarat,Cotton,Kharif,2718.9,1984.8,0.73,507.7,48.2
2022,Bihar,Vegetables,Kharif,912.7,15999.6,17.53,623.1,37.8
2007,Andhra Pradesh,Fruits,Kharif,724.8,7262.5,10.02,577.2,53.5
2015,Gujarat,Sugarcane,Kharif,222.9,13663.8,61.3,466.1,92.5
2004,Maharashtra,Millets,Kharif,2686.4,1880.5,0.7,692.2,2.9
2021,Chhattisgarh,Rice,Kharif,3698.5,7914.8,2.14,1105.8,25.6
2005,Bihar,Pulses,Rabi,549.2,296.6,0.54,81.2,40.4
2018,Karnataka,Coffee,Kharif,254.7,226.7,0.89,966.1,26.6
2007,Karnataka,Millets,Kharif,1863.8,2050.2,1.1,650.7,16.0
2012,Bihar,Wheat,Rabi,2238.3,5192.9,2.32,83.7,77.2
2021,Andhra Pradesh,Coconut,Kharif,120.0,1342.8,11.19,671.1,66.4
2021,Maharashtra,Wheat,Rabi,983.8,1741.3,1.77,54.2,75.0
2008,Chhattisgarh,Rice,Kharif,3878.2,5623.4,1.45,1316.0,22.2
2020,Assam,Jute,Kharif,75.1,160.0,2.13,1980.1,2.4
2020,Gujarat,Vegetables,Rabi,549.9,9612.3,17.48,39.0,79.3
2012,Karnataka,Fruits,Kharif,473.4,4767.1,10.07,633.5,46.7
2009,West Bengal,Wheat,Rabi,469.4,1093.7,2.33,57.6,51.7
2002,Andhra Pradesh,Groundnut,Kharif,1163.9,931.1,0.8,377.7,30.7
2015,Uttar Pradesh,Sugarcane,Kharif,2365.2,147848.7,62.51,623.5,95.8
2010,Bihar,Jute,Kharif,208.0,436.8,2.1,806.7,34.4
2017,Maharashtra,Sugarcane,Kharif,1053.1,83152.8,78.96,678.3,89.3
2003,Maharashtra,Groundnut,Kharif,381.2,335.5,0.88,639.8,15.3
2011,Haryana,Sugarcane,Kharif,130.3,8208.9,63.0,449.1,98.0
2008,Madhya Pradesh,Millets,Kharif,481.1,317.5,0.66,939.3,5.5
2016,Karnataka,Rice,Kharif,1217.8,3641.2,2.99,1166.9,65.1
2015,Punjab,Cotton,Kharif,566.3,826.8,1.46,285.7,95.9
2001,Karnataka,Soybean,Kharif,317.4,228.5,0.72,498.7,6.0
2007,Rajasthan,Pulses,Rabi,1843.5,995.5,0.54,31.0,30.2
2007,Karnataka,Spices,Kharif,161.3,246.8,1.53,780.5,18.6
2006,Rajasthan,Millets,Kharif,4197.6,2476.6,0.59,363.9,6.2
2018,Gujarat,Millets,Kharif,854.5,999.8,1.17,374.9,11.8
2004,Rajasthan,Pulses,Rabi,2030.9,1035.8,0.51,27.7,27.3
2001,Haryana,Millets,Kharif,475.7,437.6,0.92,330.0,12.8
2019,Haryana,Sugarcane,Kharif,131.3,7531.4,57.36,581.1,99.7
2014,Rajasthan,Maize,Kharif,830.3,1170.7,1.41,277.2,20.6
2022,Gujarat,Sugarcane,Kharif,223.4,16956.1,75.9,661.4,96.6
2015,Chhattisgarh,Pulses,Kharif,351.2,175.6,0.5,682.5,2.3
2005,Karnataka,Pulses,Rabi,2294.1,894.7,0.39,147.1,12.6
2013,Karnataka,Millets,Kharif,2080.0,2350.4,1.13,919.6,14.4
2014,Punjab,Rice,Kharif,3652.5,12455.0,3.41,454.9,100
2005,Madhya Pradesh,Pulses,Rabi,3556.8,2240.8,0.63,79.3,20.8
2006,Kerala,Spices,Kharif,229.9,423.0,1.84,2988.5,9.7
2009,Uttar Pradesh,Oilseeds,Rabi,802.7,650.2,0.81,43.0,78.4
2005,Bihar,Sugarcane,Kharif,281.5,11749.8,41.74,1460.0,70.0
2001,Karnataka,Sugarcane,Kharif,465.5,33022.6,70.94,818.8,96.5
2005,Gujarat,Rice,Kharif,646.5,1008.5,1.56,949.0,52.3
2011,West Bengal,Rice,Kharif,4232.7,11428.3,2.7,1182.0,36.5
2004,Tamil Nadu,Vegetables,Kharif,402.8,6251.5,15.52,491.7,59.6
2005,West Bengal,Vegetables,Kharif,1161.6,15960.4,13.74,2371.4,35.8
2022,Telangana,Soybean,Kharif,190.2,195.9,1.03,800.3,9.2
2008,Tamil Nadu,Rice,Kharif,1929.3,6849.0,3.55,341.8,94.1
2003,Gujarat,Sugarcane,Kharif,188.1,12892.4,68.54,517.4,96.1
2004,Madhya Pradesh,Cotton,Kharif,609.0,274.1,0.45,877.2,13.8
2001,Andhra Pradesh,Rice,Rabi,1439.7,4419.9,3.07,197.6,95.1
2019,Madhya Pradesh,Groundnut,Kharif,191.7,197.5,1.03,768.6,12.8
2016,Bihar,Maize,Kharif,680.4,2007.2,2.95,909.6,40.4
2001,Uttar Pradesh,Millets,Kharif,814.2,602.5,0.74,665.6,17.1
2014,Madhya Pradesh,Rice,Kharif,1785.6,2214.1,1.24,623.3,27.1
2017,Bihar,Fruits,Kharif,382.4,4959.7,12.97,1009.8,36.6
2020,Maharashtra,Soybean,Kharif,4245.1,4457.4,1.05,820.0,3.1
2013,Tamil Nadu,Groundnut,Kharif,522.3,767.8,1.47,679.0,52.4
2016,Karnataka,Vegetables,Kharif,632.7,9446.2,14.93,698.7,42.4
2008,West Bengal,Jute,Kharif,589.6,1521.2,2.58,1261.8,18.8
2001,Gujarat,Tobacco,Rabi,89.0,107.7,1.21,23.7,85.9
2006,Maharashtra,Millets,Kharif,2962.5,2251.5,0.76,624.2,3.8
2005,Maharashtra,Maize,Kharif,546.5,858.0,1.57,788.9,19.3
2012,Andhra Pradesh,Rice,Rabi,1414.6,5135.0,3.63,201.9,95.4
2006,Andhra Pradesh,Coconut,Kharif,103.0,907.4,8.81,454.0,64.1
2006,Gujarat,Fruits,Kharif,425.9,3684.0,8.65,477.3,55.2
2002,Kerala,Spices,Kharif,257.8,363.5,1.41,1992.5,8.5
2005,Haryana,Wheat,Rabi,2736.7,9058.5,3.31,207.0,100.0
2005,Telangana,Soybean,Kharif,198.5,138.9,0.7,1000.7,9.8
2022,Gujarat,Oilseeds,Rabi,320.4,413.3,1.29,23.9,81.8
2018,Tamil Nadu,Rice,Kharif,1959.8,7094.5,3.62,202.7,91.2
2012,Odisha,Rice,Kharif,3582.2,6233.0,1.74,1432.0,29.1
2016,Telangana,Rice,Kharif,1067.3,3201.9,3.0,652.5,82.3
2016,Bihar,Jute,Kharif,223.5,462.6,2.07,1019.0,30.8
2010,Kerala,Fruits,Kharif,258.6,2314.5,8.95,1997.6,24.8
2016,Andhra Pradesh,Spices,Kharif,51.8,88.1,1.7,620.0,27.7
2004,Tamil Nadu,Fruits,Kharif,325.2,3684.5,11.33,453.5,63.2
2020,Gujarat,Wheat,Rabi,982.2,3260.9,3.32,29.1,91.5
2005,Andhra Pradesh,Millets,Kharif,368.5,309.5,0.84,649.1,16.4
2017,Tamil Nadu,Tea,Kharif,63.0,134.2,2.13,1660.7,23.6
2002,Punjab,Sugarcane,Kharif,95.9,4834.3,50.41,424.7,100
2022,Tamil Nadu,Spices,Kharif,100.4,210.8,2.1,809.7,22.9
2010,Maharashtra,Vegetables,Kharif,714.8,9235.2,12.92,697.3,45.3
2022,Karnataka,Coffee,Kharif,249.5,264.5,1.06,1470.0,31.1
2004,Tamil Nadu,Sugarcane,Kharif,319.8,30924.7,96.7,494.8,97.9
2019,Bihar,Maize,Kharif,709.5,1894.4,2.67,1430.1,38.7
2015,Bihar,Pulses,Rabi,444.4,306.6,0.69,38.7,36.9
2005,Kerala,Fruits,Kharif,257.2,1895.6,7.37,3152.9,26.9
2020,Karnataka,Rice,Kharif,1271.4,4221.0,3.32,928.4,62.6
2016,Gujarat,Pulses,Kharif,427.8,290.9,0.68,592.6,14.0
2001,Rajasthan,Soybean,Kharif,1112.6,1001.3,0.9,521.4,12.7
2010,Gujarat,Cotton,Kharif,2368.7,2724.0,1.15,717.3,51.5
2002,Gujarat,Cotton,Kharif,2435.2,1582.9,0.65,405.3,49.1
